"codnivel1","codnivel2","codnivel3","codnivel4","codnivel5","codassunto","descassunto"
14,5956,5972,10534,NULL,10534,"TAXA DE LIMPEZA PÚBLICA"
14,5956,5972,10535,NULL,10535,"TAXA DE ILUMINAÇÃO PÚBLICA"
14,5956,5972,10536,NULL,10536,"TAXA DE COLETA DE LIXO"
14,5956,5972,10537,NULL,10537,"TAXA DE PREVENÇÃO E COMBATE A INCÊNDIO"
14,5956,5972,10538,NULL,10538,"TAXA DE LICENCIAMENTO DE ESTABELECIMENTO"
14,5956,5972,NULL,NULL,5972,"MUNICIPAIS"
14,5956,NULL,NULL,NULL,5956,"TAXAS"
14,5973,5974,NULL,NULL,5974,"AQUISIÇÃO DE VEÍCULOS AUTOMOTORES"
14,5973,5975,NULL,NULL,5975,"AQUISIÇÃO DE COMBUSTÍVEIS"
14,5973,5976,NULL,NULL,5976,"AQUISIÇÃO DE PASSAGENS E MOEDAS - VIAGEM EXTERIOR"
14,5973,5977,NULL,NULL,5977,"ENERGIA ELÉTRICA"
14,5973,NULL,NULL,NULL,5973,"EMPRÉSTIMOS COMPULSÓRIOS"
14,5978,5979,5980,NULL,5980,"RESPONSABILIDADE TRIBUTÁRIA DO SÓCIO-GERENTE / DIRETOR / REPRESENTANTE"
14,5978,5979,5981,NULL,5981,"SUBSTITUIÇÃO TRIBUTÁRIA"
14,5978,5979,NULL,NULL,5979,"RESPONSABILIDADE TRIBUTÁRIA"
14,5978,5982,NULL,NULL,5982,"DIMOB/DECLARAÇÃO DE INFORMAÇÕES SOBRE ATIVIDADES IMOBILÍÁRIAS"
14,5978,5983,NULL,NULL,5983,"CNPJ/CADASTRO NACIONAL DE PESSOAS JURÍDICAS"
14,5978,5984,NULL,NULL,5984,"CPF/CADASTRO DE PESSOAS FÍSICAS"
14,5978,5985,15005,15006,15006,"INFRAÇÃO À LEGISLAÇÃO PREVIDENCIÁRIA"
14,5978,5985,15005,15007,15007,"INFRAÇÃO À LEGISLAÇÃO TRABALHISTA"
14,5978,5985,15005,NULL,15005,"MULTA POR DESCUMPRIMENTO DE OBRIGAÇÃO ACESSÓRIA"
14,5978,5985,NULL,NULL,5985,"OBRIGAÇÃO ACESSÓRIA"
14,5978,10539,NULL,NULL,10539,"CAPACIDADE TRIBUTÁRIA"
14,5978,NULL,NULL,NULL,5978,"OBRIGAÇÃO TRIBUTÁRIA"
14,5986,5987,5988,NULL,5988,"CARTA DE FIANÇA"
14,5986,5987,5989,NULL,5989,"PARCELAMENTO"
14,5986,5987,10543,NULL,10543,"DEPÓSITO JUDICIAL"
14,5986,5987,NULL,NULL,5987,"SUSPENSÃO DA EXIGIBILIDADE"
14,5986,5990,5991,NULL,5991,"COMPENSAÇÃO COM APÓLICES DA DÍVIDA PÚBLICA"
14,5986,5990,5992,10544,10544,"CONSTITUCIONALIDADE DO ARTIGO 4º DA LC 118/05"
14,5986,5990,5992,10545,10545,"CONSTITUCIONALIDADE DO ARTIGO 46 DA LEI 8212/91"
14,5986,5990,5992,10546,10546,"SUSPENSÃO"
14,5986,5990,5992,10546,10549,"ARQUIVAMENTO ADMINISTRATIVO - CRÉDITO DE PEQUENO VALOR"
14,5986,5990,5992,10547,10547,"INTERRUPÇÃO"
14,5986,5990,5992,10547,10550,"DESPACHO DE CITAÇÃO"
14,5986,5990,5992,10548,10548,"DECRETAÇÃO DE OFÍCIO"
14,5986,5990,5992,NULL,5992,"PRESCRIÇÃO"
14,5986,5990,5993,10551,10551,"CONSTITUCIONALIDADE DO ARTIGO 45 DA LEI 8212/91"
14,5986,5990,5993,NULL,5993,"DECADÊNCIA"
14,5986,5990,5994,NULL,5994,"COMPENSAÇÃO"
14,5986,5990,5995,NULL,5995,"TDA/TÍTULOS DA DÍVIDA AGRÁRIA"
14,5986,5990,14950,NULL,14950,"PAGAMENTO"
14,5986,5990,NULL,NULL,5990,"EXTINÇÃO DO CRÉDITO TRIBUTÁRIO"
14,5986,5996,NULL,NULL,5996,"ANISTIA"
14,5986,5997,NULL,NULL,5997,"DENÚNCIA ESPONTÂNEA"
14,5986,5998,NULL,NULL,5998,"LANÇAMENTO"
14,5986,5999,6000,NULL,6000,"EXPEDIÇÃO DE CND"
14,5986,5999,6001,NULL,6001,"EXPEDIÇÃO DE CERTIDÃO POSITIVA DE DÉBITO COM EFEITO DE NEGATIVA"
14,5986,5999,6002,NULL,6002,"CERTIFICADO DE REGULARIDADE - FGTS"
14,5986,5999,NULL,NULL,5999,"CND/CERTIDÃO NEGATIVA DE DÉBITO"
14,5986,6003,NULL,NULL,6003,"INCENTIVOS FISCAIS"
14,5986,6004,NULL,NULL,6004,"ANULAÇÃO DE DÉBITO FISCAL"
14,5986,6005,NULL,NULL,6005,"JUROS/CORREÇÃO MONETÁRIA"
14,5986,6006,NULL,NULL,6006,"PRAZO DE RECOLHIMENTO"
14,5986,6007,NULL,NULL,6007,"REPETIÇÃO DE INDÉBITO"
14,5986,6008,10556,NULL,10556,"EXCLUSÃO - ICMS"
14,5986,6008,10557,NULL,10557,"EXCLUSÃO - IPI"
14,5986,6008,10558,NULL,10558,"EXCLUSÃO - RECEITAS PROVENIENTES DE EXPORTAÇÃO"
14,5986,6008,10559,NULL,10559,"CÁLCULO DE ICMS ""POR DENTRO"""
14,5986,6008,10959,14947,14947,"COFINS"
14,5986,6008,10959,14948,14948,"PIS"
14,5986,6008,10959,14949,14949,"PIS - COFINS"
14,5986,6008,10959,NULL,10959,"EXCLUSÃO - RECEITAS TRANSFERIDAS A OUTRAS PESSOAS JURÍDICAS"
14,5986,6008,NULL,NULL,6008,"BASE DE CÁLCULO"
14,5986,6009,NULL,NULL,6009,"CRÉDITO PRÊMIO"
14,5986,6010,NULL,NULL,6010,"CRÉDITO PRESUMIDO"
14,5986,6011,NULL,NULL,6011,"FATO GERADOR/INCIDÊNCIA"
14,5986,6012,6013,14899,14899,"COFINS"
14,5986,6012,6013,14900,14900,"PIS"
14,5986,6012,6013,14946,14946,"PIS - COFINS"
14,5986,6012,6013,NULL,6013,"ALÍQUOTA ZERO"
14,5986,6012,6014,NULL,6014,"ALÍQUOTA PROGRESSIVA"
14,5986,6012,6015,NULL,6015,"ÍNDICE DA ALÍQUOTA"
14,5986,6012,NULL,NULL,6012,"ALÍQUOTA"
14,5986,6016,NULL,NULL,6016,"CREDITAMENTO"
14,5986,NULL,NULL,NULL,5986,"CRÉDITO TRIBUTÁRIO"
14,6017,10887,NULL,NULL,10887,"AUSÊNCIA DE COBRANÇA ADMINISTRATIVA PRÉVIA"
14,6017,10922,NULL,NULL,10922,"COBRANÇA DE MULTA MORATÓRIA DE MASSA FALIDA"
14,6017,10923,NULL,NULL,10923,"COBRANÇA DE JUROS MORATÓRIOS DE MASSA FALIDA"
14,6017,14951,14952,NULL,14952,"ENCARGO DE 20%"
14,6017,14951,14953,NULL,14953,"ADESÃO A PROGRAMA DE PARCELAMENTO DE DÉBITO"
14,6017,14951,NULL,NULL,14951,"HONORÁRIOS ADVOCATÍCIOS"
14,6017,NULL,NULL,NULL,6017,"DÍVIDA ATIVA (EXECUÇÃO FISCAL)"
14,6018,6019,NULL,NULL,6019,"DEPÓSITO PRÉVIO AO RECURSO ADMINISTRATIVO"
14,6018,6020,NULL,NULL,6020,"ARROLAMENTO DE BENS"
14,6018,NULL,NULL,NULL,6018,"PROCESSO ADMINISTRATIVO FISCAL"
14,6021,6022,6023,NULL,6023,"UTILIZAÇÃO DE DADOS RELATIVOS À CPMF PARA FINS DE FISCALIZAÇÃO"
14,6021,6022,NULL,NULL,6022,"SIGILO FISCAL"
14,6021,6024,NULL,NULL,6024,"LIBERAÇÃO DE MERCADORIAS"
14,6021,6025,NULL,NULL,6025,"LEVANTAMENTO DE DEPÓSITO"
14,6021,6026,NULL,NULL,6026,"CADASTRO DE INADIMPLENTES - CADIN/SPC/SERASA/SIAFI/CAUC"
14,6021,6027,NULL,NULL,6027,"AUTORIZAÇÃO PARA IMPRESSÃO DE DOCUMENTOS FISCAIS - AIDF"
14,6021,6028,NULL,NULL,6028,"LIBERAÇÃO DE VEÍCULO APREENDIDO"
14,6021,6029,NULL,NULL,6029,"PERDIMENTO DE BENS"
14,6021,10560,NULL,NULL,10560,"QUEBRA DE SIGILO BANCÁRIO"
14,6021,NULL,NULL,NULL,6021,"PROCEDIMENTOS FISCAIS"
14,6030,NULL,NULL,NULL,6030,"GATT - ""ACORDO GERAL SOBRE TARIFAS E COMÉRCIO"""
14,6031,6032,NULL,NULL,6032,"CONTRIBUIÇÕES DE MELHORIA"
14,6031,6033,6034,NULL,6034,"FINSOCIAL"
14,6031,6033,6035,10873,10873,"NÃO CUMULATIVIDADE"
14,6031,6033,6035,14890,14890,"COOPERATIVA"
14,6031,6033,6035,14891,14891,"CONCESSIONÁRIAS DE VEÍCULOS"
14,6031,6033,6035,14892,14892,"EQUIPARAÇÃO COM INSTITUIÇÕES FINANCEIRAS"
14,6031,6033,6035,14893,14893,"LOCAÇÃO DE BEM MÓVEL E IMÓVEL"
14,6031,6033,6035,14894,14894,"REGIME MONOFÁSICO"
14,6031,6033,6035,NULL,6035,"COFINS"
14,6031,6033,6036,10563,10563,"COMPENSAÇÃO DE PREJUÍZO"
14,6031,6033,6036,NULL,6036,"CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO"
14,6031,6033,6037,NULL,6037,"SALÁRIO-EDUCAÇÃO"
14,6031,6033,6038,NULL,6038,"SEGURO ACIDENTES DO TRABALHO"
14,6031,6033,6039,10874,10874,"NÃO CUMULATIVIDADE"
14,6031,6033,6039,14895,14895,"COOPERATIVA"
14,6031,6033,6039,14896,14896,"CONCESSIONÁRIAS DE VEÍCULOS"
14,6031,6033,6039,14897,14897,"LOCAÇÃO DE BEM MÓVEL E IMÓVEL"
14,6031,6033,6039,14898,14898,"REGIME MONOFÁSICO"
14,6031,6033,6039,NULL,6039,"PIS"
14,6031,6033,6040,NULL,6040,"FUNRURAL"
14,6031,6033,6041,NULL,6041,"CONTRIBUIÇÃO INCRA"
14,6031,6033,6042,NULL,6042,"PASEP"
14,6031,6033,6043,NULL,6043,"CONSTRUÇÃO CIVIL"
14,6031,6033,10561,NULL,10561,"PIS - IMPORTAÇÃO"
14,6031,6033,10562,NULL,10562,"COFINS - IMPORTAÇÃO"
14,6031,6033,NULL,NULL,6033,"CONTRIBUIÇÕES SOCIAIS"
14,6031,6044,6045,NULL,6045,"CONTRIBUIÇÕES PARA O SEBRAE, SESC, SENAC, SENAI E OUTROS"
14,6031,6044,6046,NULL,6046,"CONSELHOS REGIONAIS E AFINS (ANUIDADE)"
14,6031,6044,6047,NULL,6047,"CONTRIBUIÇÃO SINDICAL"
14,6031,6044,10565,NULL,10565,"CONTRIBUIÇÃO SINDICAL RURAL"
14,6031,6044,NULL,NULL,6044,"CONTRIBUIÇÕES CORPORATIVAS"
14,6031,6048,6049,NULL,6049,"SERVIDORES ATIVOS"
14,6031,6048,6050,NULL,6050,"SERVIDORES INATIVOS"
14,6031,6048,6051,NULL,6051,"MANDATO ELETIVO/LEI 9.506/97"
14,6031,6048,6052,NULL,6052,"APOSENTADORIA/RETORNO AOTRABALHO"
14,6031,6048,6053,NULL,6053,"CARGO EM COMISSÃO"
14,6031,6048,6054,NULL,6054,"TEMPO DE SERVIÇO URBANO/CONTRIBUIÇÕES NÃO RECOLHIDAS"
14,6031,6048,6055,NULL,6055,"TEMPO DE SERVIÇO RURAL/CONTRIBUIÇÕES NÃO RECOLHIDAS"
14,6031,6048,6056,NULL,6056,"GRATIFICAÇÃO NATALINA/13º SALÁRIO"
14,6031,6048,6057,NULL,6057,"PRODUÇÃO AGROPECUÁRIA"
14,6031,6048,6058,NULL,6058,"INDENIZAÇÃO TRABALHISTA"
14,6031,6048,6059,NULL,6059,"REEMBOLSO AUXÍLIO-CRECHE"
14,6031,6048,6060,NULL,6060,"CONTRIBUIÇÃO SOBRE A FOLHA DE SALÁRIOS"
14,6031,6048,6061,NULL,6061,"DEVOLUÇÃO DE CONTRIBUIÇÕES PREVIDENCIÁRIAS PAGAS ALÉM DO TETO"
14,6031,6048,6062,NULL,6062,"1/3 DE FÉRIAS"
14,6031,6048,6063,NULL,6063,"AUXÍLIO-ALIMENTAÇÃO"
14,6031,6048,6064,NULL,6064,"CUSTEIO DE ASSISTÊNCIA MÉDICA"
14,6031,6048,6065,NULL,6065,"HORA EXTRA"
14,6031,6048,6066,NULL,6066,"MASSA FALIDA- RECOLHIMENTO"
14,6031,6048,6067,NULL,6067,"NOTA FISCAL OU FATURA"
14,6031,6048,6068,NULL,6068,"SALÁRIO-MATERNIDADE"
14,6031,6048,6069,NULL,6069,"CONTRIBUIÇÃO SOBRE NOTA FISCAL DE EXECUÇÃO DE SERVIÇOS"
14,6031,6048,6070,NULL,6070,"CONTRIBUIÇÃO DE AUTÔNOMOS, EMPRESÁRIOS (PRÓ-LABORE) E FACULTATIVOS"
14,6031,6048,14887,NULL,14887,"ADICIONAL DE PLANTÃO HOSPITALAR"
14,6031,6048,14888,NULL,14888,"INDENIZAÇÃO A ANISTIADOS POLÍTICOS, CIVIS OU MILITARES"
14,6031,6048,14889,NULL,14889,"SOBRE A RECEITA BRUTA (SUBSTITUTIVA)"
14,6031,6048,NULL,NULL,6048,"CONTRIBUIÇÕES PREVIDENCIÁRIAS"
14,6031,6071,6072,NULL,6072,"FNT/FUNDO NACIONAL DE TELECOMUNICAÇÕES"
14,6031,6071,6073,NULL,6073,"ATP/ADICIONAL DE TARIFA PORTUÁRIA"
14,6031,6071,6074,NULL,6074,"AITP/ADICIONAL DE INDENIZAÇÃO DO TRABALHADOR PORTUÁRIO AVULSO"
14,6031,6071,6075,NULL,6075,"ADICIONAL DE TARIFA AEROPORTUÁRIA"
14,6031,6071,6076,NULL,6076,"AFRMM/ADICIONAL AO FRETE PARA RENOVAÇÃO DA MARINHA MERCANTE"
14,6031,6071,6077,14883,14883,"FUNDO DE SAÚDE DO EXÉRCITO - FUSEX"
14,6031,6071,6077,NULL,6077,"FUNDEB/FUNDEF/FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DO ENSINO FUNDAMENTAL E DE VALORIZAÇÃO DO MAGISTÉRIO"
14,6031,6071,6078,NULL,6078,"SEGURO APAGÃO (LEI 10.438/02)"
14,6031,6071,6079,NULL,6079,"CONTRIBUIÇÃO SOBRE LICENÇA DE USO OU TRANSFERÊNCIA DE TECNOLOGIA"
14,6031,6071,6080,NULL,6080,"CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO (CIDE)"
14,6031,6071,6081,NULL,6081,"FUNDAF/FUNDO ESPECIAL DE DESENVOLVIMENTO E APERFEIÇOAMENTO DAS ATIVIDADES DE FISCALIZAÇÃO"
14,6031,6071,6082,14884,14884,"FUNDO DE SAÚDE DO EXÉRCITO - FUSEX"
14,6031,6071,6082,14885,14885,"FUNDO DE SAÚDE DA AERONÁUTICA - FUNSA"
14,6031,6071,6082,14886,14886,"FUNDO DE SAÚDE DA MARINHA - FUSMA"
14,6031,6071,6082,NULL,6082,"FUSEX/FUNSA/FUSMA/FUNDO DE SAÚDE DAS FORÇAS ARMADAS"
14,6031,6071,6083,NULL,6083,"CONTRIBUIÇÃO DE ILUMINAÇÃO PÚBLICA"
14,6031,6071,6084,NULL,6084,"IUEE/IMPOSTO ÚNICO SOBRE ENERGIA ELÉTRICA"
14,6031,6071,6085,NULL,6085,"FGTS/FUNDO DE GARANTIA POR TEMPO DE SERVIÇO"
14,6031,6071,6086,NULL,6086,"CONTRIBUIÇÃO SOBRE AÇÚCAR E ÁLCOOL"
14,6031,6071,6087,NULL,6087,"CPMF/CONTRIBUIÇÃO PROVISÓRIA SOBRE MOVIMENTAÇÃO FINANCEIRA"
14,6031,6071,NULL,NULL,6071,"CONTRIBUIÇÕES ESPECIAIS"
14,6031,NULL,NULL,NULL,6031,"CONTRIBUIÇÕES"
14,6088,NULL,NULL,NULL,6088,"DISCRIMINAÇÃO TRIBUTÁRIA MERCOSUL"
14,6089,6090,NULL,NULL,6090,"REFIS/PROGRAMA DE RECUPERAÇÃO FISCAL"
14,6089,6091,NULL,NULL,6091,"PAES/PARCELAMENTO ESPECIAL"
14,6089,6092,NULL,NULL,6092,"SIMPLES"
14,6089,6093,NULL,NULL,6093,"SUPER SIMPLES"
14,6089,15051,NULL,NULL,15051,"REINTEGRA"
14,6089,NULL,NULL,NULL,6089,"REGIMES ESPECIAIS DE TRIBUTAÇÃO"
14,NULL,NULL,NULL,NULL,14,"DIREITO TRIBUTÁRIO"
195,6094,6095,14771,NULL,14771,"ADICIONAL DE 25%"
195,6094,6095,14772,NULL,14772,"URBANA (ART. 42/44)"
195,6094,6095,14773,NULL,14773,"RURAL (ART. 42/44)"
195,6094,6095,NULL,NULL,6095,"APOSENTADORIA POR INCAPACIDADE PERMANENTE"
195,6094,6096,6097,NULL,6097,"APOSENTADORIA URBANA (ART. 48/51)"
195,6094,6096,6098,NULL,6098,"APOSENTADORIA RURAL (ART. 48/51)"
195,6094,6096,12399,14762,14762,"CÔMPUTO DE PERÍODO RURAL REMOTO"
195,6094,6096,12399,NULL,12399,"APOSENTADORIA HÍBRIDA (ART. 48/106)"
195,6094,6096,NULL,NULL,6096,"APOSENTADORIA POR IDADE (ART. 48/51)"
195,6094,6099,NULL,NULL,6099,"APOSENTADORIA POR TEMPO DE SERVIÇO (ART. 52/4)"
195,6094,6100,14750,NULL,14750,"FRENTISTA"
195,6094,6100,14751,NULL,14751,"AGENTE CANCERÍGENO"
195,6094,6100,14752,NULL,14752,"AGENTE AGRESSIVO - BIOLÓGICO"
195,6094,6100,14753,NULL,14753,"AGENTE AGRESSIVO - QUÍMICO"
195,6094,6100,14754,NULL,14754,"AGENTE AGRESSIVO - POEIRA"
195,6094,6100,14755,NULL,14755,"AGENTE AGRESSIVO - RUÍDO"
195,6094,6100,14756,NULL,14756,"AGENTE AGRESSIVO - ELETRICIDADE"
195,6094,6100,14761,NULL,14761,"GARIMPEIRO"
195,6094,6100,14763,NULL,14763,"VIGILANTE"
195,6094,6100,14764,NULL,14764,"TALIDOMIDA"
195,6094,6100,14765,NULL,14765,"HANSENÍASE"
195,6094,6100,14766,NULL,14766,"SERINGUEIRO"
195,6094,6100,14767,NULL,14767,"PROFESSOR"
195,6094,6100,14768,14769,14769,"POR IDADE"
